iter	Passed	Remaining
633	3966	2289
634	3972	2283
635	3978	2276
636	3984	2270
637	3990	2264
638	3996	2258
639	4003	2251
640	4009	2245
641	4015	2239
642	4021	2232
643	4027	2226
644	4033	2220
645	4039	2213
646	4045	2207
647	4051	2201
648	4058	2194
649	4064	2188
650	4070	2182
651	4076	2175
652	4082	2169
653	4088	2163
654	4095	2156
655	4101	2150
656	4107	2144
657	4113	2137
658	4119	2131
659	4125	2125
660	4131	2118
661	4137	2112
662	4143	2105
663	4149	2099
664	4155	2093
665	4161	2086
666	4167	2080
667	4173	2074
668	4179	2067
669	4185	2061
670	4191	2055
671	4197	2048
672	4204	2042
673	4210	2036
674	4216	2030
675	4222	2023
676	4228	2017
677	4234	2011
678	4240	2004
679	4246	1998
680	4252	1991
681	4258	1985
682	4264	1979
683	4270	1972
684	4276	1966
685	4282	1960
686	4288	1954
687	4295	1947
688	4301	1941
689	4307	1935
690	4313	1928
691	4319	1922
692	4326	1916
693	4332	1910
694	4338	1903
695	4344	1897
696	4351	1891
697	4357	1885
698	4363	1878
699	4369	1872
700	4376	1866
701	4382	1860
702	4388	1854
703	4394	1847
704	4401	1841
705	4407	1835
706	4413	1829
707	4419	1822
708	4426	1816
709	4432	1810
710	4438	1804
711	4444	1797
712	4450	1791
713	4457	1785
714	4463	1779
715	4469	1772
716	4475	1766
717	4481	1760
718	4487	1753
719	4493	1747
720	4500	1741
721	4506	1735
722	4512	1728
723	4518	1722
724	4525	1716
725	4531	1710
726	4537	1703
727	4544	1697
728	4550	1691
729	4556	1685
730	4562	1679
731	4568	1672
732	4574	1666
733	4581	1660
734	4587	1653
735	4593	1647
736	4599	1641
737	4605	1635
738	4612	1628
739	4618	1622
740	4624	1616
741	4630	1610
742	4637	1604
743	4643	1597
744	4649	1591
745	4656	1585
746	4662	1579
747	4668	1572
748	4674	1566
749	4680	1560
750	4687	1554
751	4693	1547
752	4699	1541
753	4705	1535
754	4711	1529
755	4718	1522
756	4724	1516
757	4730	1510
758	4737	1504
759	4743	1497
760	4749	1491
761	4755	1485
762	4762	1479
763	4767	1472
764	4773	1466
765	4779	1460
766	4785	1453
767	4792	1447
768	4798	1441
769	4804	1435
770	4810	1428
771	4816	1422
772	4822	1416
773	4828	1410
774	4834	1403
775	4841	1397
776	4847	1391
777	4853	1384
778	4859	1378
779	4866	1372
780	4872	1366
781	4878	1360
782	4885	1353
783	4891	1347
784	4897	1341
785	4903	1335
786	4910	1328
787	4916	1322
788	4922	1316
789	4928	1310
790	4934	1303
791	4941	1297
792	4947	1291
793	4953	1285
794	4959	1278
795	4965	1272
796	4972	1266
797	4978	1260
798	4984	1253
799	4990	1247
800	4996	1241
801	5002	1235
802	5009	1228
803	5015	1222
804	5022	1216
805	5028	1210
806	5034	1204
807	5040	1197
808	5046	1191
809	5053	1185
810	5059	1179
811	5065	1172
812	5071	1166
813	5077	1160
814	5084	1154
815	5090	1147
816	5096	1141
817	5102	1135
818	5108	1129
819	5115	1122
820	5121	1116
821	5127	1110
822	5133	1104
823	5140	1097
824	5146	1091
825	5152	1085
826	5158	1079
827	5164	1072
828	5171	1066
829	5177	1060
830	5183	1054
831	5190	1047
832	5196	1041
833	5202	1035
834	5208	1029
835	5215	1023
836	5221	1016
837	5227	1010
838	5233	1004
839	5239	997
840	5245	991
841	5251	985
842	5257	979
843	5263	972
844	5269	966
845	5276	960
846	5282	954
847	5288	947
848	5294	941
849	5300	935
850	5306	929
851	5312	922
852	5318	916
853	5324	910
854	5330	904
855	5337	897
856	5343	891
857	5349	885
858	5355	879
859	5361	872
860	5367	866
861	5373	860
862	5379	854
863	5386	847
864	5392	841
865	5398	835
866	5404	829
867	5410	822
868	5416	816
869	5422	810
870	5428	803
871	5434	797
872	5440	791
873	5447	785
874	5453	779
875	5459	772
876	5465	766
877	5472	760
878	5478	754
879	5484	747
880	5490	741
881	5497	735
882	5503	729
883	5509	722
884	5515	716
885	5522	710
886	5528	704
887	5534	698
888	5540	691
889	5546	685
890	5552	679
891	5559	673
892	5565	666
893	5571	660
894	5577	654
895	5583	648
896	5590	641
897	5596	635
898	5602	629
899	5609	623
900	5615	616
901	5621	610
902	5627	604
903	5633	598
904	5640	592
905	5646	585
906	5652	579
907	5659	573
908	5665	567
909	5671	560
910	5678	554
911	5684	548
912	5690	542
913	5696	536
914	5702	529
915	5708	523
916	5715	517
917	5721	511
918	5727	504
919	5734	498
920	5739	492
921	5745	486
922	5752	479
923	5758	473
924	5764	467
925	5770	461
926	5777	454
927	5783	448
928	5789	442
929	5796	436
930	5802	430
931	5808	423
932	5814	417
933	5821	411
934	5827	405
935	5834	398
936	5840	392
937	5846	386
938	5852	380
939	5859	373
940	5865	367
941	5871	361
942	5877	355
